Voltage,Current,Vibration,Temperature,Humidity,Mic1,Mic2,label
2.2275,-0.0405405405405396,1.0,28.0,69.0,0.0009368066093884,0.0112066566944122,normal
2.12975,-0.1148648648648636,1.0,28.0,70.0,,0.0119914216920733,normal
2.30925,-0.1297297297297298,1.0,28.0,70.0,0.0118690337985754,0.0153017416596412,normal
1.865125,-0.1439189189189195,1.0,29.0,71.0,0.0148357022553682,0.0091635910794138,normal
0.9945,-0.1195945945945943,1.0,29.0,71.0,0.0090623712167143,0.0129226576536893,normal
2.02725,-0.08581081081081,1.0,29.0,71.0,0.0128147257491946,0.0104633010923862,normal
0.913875,-0.0831081081081088,1.0,29.0,71.0,0.0102757737040519,0.0158033091574907,normal
1.0205,-0.1101351351351353,1.0,29.0,71.0,0.0154939126223325,0.0095070349052548,normal
1.636125,0.0074324324324319,1.0,29.0,71.0,0.0092273810878396,0.0140639320015907,normal
0.912875,-0.1209459459459449,1.0,29.0,71.0,0.0138483578339219,0.0121743204072117,normal
1.4825,-0.1141891891891895,1.0,29.0,71.0,0.0121731022372841,0.0129839768633246,normal
2.1055,-0.124324324324325,1.0,29.0,71.0,0.0127318501472473,0.0111149242147803,normal
2.154375,-0.1290540540540533,1.0,29.0,71.0,0.0112030925229191,0.0149935279041528,normal
2.2065,-0.1756756756756743,1.0,29.0,71.0,0.0146654397249221,0.0105664590373635,normal
0.94775,-0.1486486486486478,1.0,29.0,71.0,0.0103364214301109,0.0130198160186409,normal
1.811875,-0.1054054054054046,1.0,29.0,71.0,0.0125727988779544,0.0102847283706069,normal
1.14925,-0.1081081081081082,1.0,29.0,71.0,0.0102644590660929,0.0160815045237541,normal
2.239375,-0.1263513513513521,1.0,29.0,71.0,0.0158839225769042,0.0096022486686706,normal
2.22775,-0.143243243243243,1.0,29.0,71.0,0.0098198093473911,0.0141427731141448,normal
0.940125,-0.1358108108108111,1.0,29.0,71.0,0.0138664888218045,0.0120281474664807,normal
1.949375,-0.1466216216216208,1.0,29.0,71.0,0.0119944112375378,0.014059254899621,normal
1.52575,-0.1155405405405401,1.0,29.0,71.0,0.0136802829802036,0.0107975136488676,normal
1.238125,-0.1439189189189195,1.0,29.0,71.0,0.0108085237443447,0.0128833800554275,normal
2.2975,-0.0918918918918913,1.0,29.0,71.0,0.0126205822452902,0.0119703086093068,normal
1.693625,-0.1304054054054039,1.0,29.0,71.0,0.0116309272125363,0.0114610530436038,normal
2.292125,-0.1209459459459449,1.0,29.0,71.0,0.0112766325473785,0.0105410274118185,normal
0.9415,-0.113513513513513,1.0,29.0,71.0,0.0108184469863772,0.0115771442651748,normal
2.230625,-0.1371621621621617,1.0,29.0,71.0,0.0116448085755109,0.0122211277484893,normal
2.075875,-0.1412162162162159,1.0,29.0,71.0,0.0122250095009803,0.0111303627490997,normal
1.10275,-0.150675675675675,1.0,29.0,71.0,0.0108683891594409,0.011101983487606,normal
0.910625,-0.1209459459459449,1.0,29.0,71.0,0.0112006571143865,0.0100040845572948,normal
2.1405,-0.1864864864864863,1.0,29.0,71.0,0.0099502531811594,0.0158110056072473,normal
1.302,-0.1344594594594581,1.0,29.0,70.0,0.0161928068846464,0.0138226775452494,normal
1.65975,-0.133783783783784,1.0,29.0,71.0,0.0134325232356786,0.0130075607448816,normal
0.9265,-0.1344594594594581,1.0,29.0,71.0,0.0133563950657844,0.0112429875880479,normal
1.150625,-0.0972972972972961,1.0,29.0,71.0,0.0111991139128804,0.0100795412436127,normal
1.706,-0.1168918918918907,1.0,29.0,71.0,0.0105637945234775,0.0099685909226536,normal
2.234,-0.1162162162162166,1.0,29.0,71.0,0.0099602043628692,0.0144712906330823,normal
1.67025,-0.1249999999999991,1.0,29.0,71.0,0.0139930080622434,0.0101078366860747,normal
1.651625,0.0439189189189197,1.0,29.0,71.0,0.0099088503047823,0.0119726341217756,normal
2.229875,-0.1405405405405394,1.0,29.0,71.0,0.0120970364660024,0.0108452271670103,normal
1.7055,-0.1479729729729738,1.0,29.0,71.0,0.0107192611321806,0.016338724642992,normal
0.94775,-0.1155405405405401,1.0,29.0,71.0,0.0158310867846012,0.0105835311114788,normal
1.64975,-0.1283783783783792,1.0,29.0,71.0,0.0110149914398789,0.0108650187030434,normal
1.8485,-0.1479729729729738,1.0,29.0,71.0,0.0110224783420562,0.0103026442229747,normal
1.228375,-0.1101351351351353,1.0,29.0,71.0,0.010941824875772,0.0114316912367939,normal
2.245875,0.057432432432433,1.0,29.0,71.0,0.0114272208884358,0.0115616777911782,normal
1.329375,-0.1398648648648653,1.0,29.0,71.0,0.011405567638576,0.0108371376991271,normal
1.11075,-0.1364864864864852,1.0,29.0,71.0,0.0103622060269117,0.0130315870046615,normal
1.964875,-0.122972972972972,1.0,29.0,71.0,0.0127425557002425,0.0105972532182931,normal
0.967375,-0.0777027027027016,1.0,29.0,71.0,0.0105380378663539,0.0123713761568069,normal
2.180125,-0.1216216216216214,1.0,29.0,70.0,0.0122581981122493,0.0146654676645994,normal
0.922625,-0.1277027027027027,1.0,29.0,70.0,0.0141276037320494,0.0115728536620736,normal
1.4805,-0.1297297297297298,1.0,29.0,70.0,0.0114573510363698,0.0110537642613053,normal
0.950375,-0.1141891891891895,1.0,29.0,71.0,0.0108493585139513,0.0104660969227552,normal
1.268,-0.0824324324324323,1.0,29.0,71.0,0.0111875087022781,0.0118316300213336,normal
0.917625,-0.1108108108108094,1.0,29.0,71.0,0.0119648072868585,0.0119372587651014,normal
1.968625,-0.0804054054054052,1.0,29.0,71.0,0.0119473757222294,0.0102734621614217,normal
1.28,-0.1121621621621624,1.0,29.0,71.0,0.0100272456184029,0.0132975541055202,normal
2.224875,-0.1412162162162159,1.0,29.0,70.0,0.0131979249417781,0.0116292526945471,normal
1.2265,-0.1249999999999991,1.0,29.0,70.0,0.0113289626315236,0.0099685080349445,normal
1.09275,-0.1425675675675665,1.0,29.0,70.0,0.0099040754139423,0.0160546135157346,normal
1.962375,-0.1222972972972979,1.0,29.0,70.0,0.0152188604697585,0.0114268949255347,normal
2.3075,-0.1155405405405401,1.0,29.0,70.0,0.0117143830284476,0.0114734740927815,normal
1.158875,-0.0020270270270271,1.0,28.0,68.0,0.000794100575149,0.0099181095138192,normal
2.308875,-0.1067567567567576,1.0,28.0,69.0,,0.0083877248689532,normal
1.13625,-0.0432432432432432,1.0,28.0,69.0,0.0083664385601878,0.0084536531940102,normal
1.30475,-0.1439189189189195,1.0,28.0,70.0,0.008494765497744,0.0077230231836438,normal
2.304125,-0.1317567567567569,1.0,28.0,70.0,0.0079267369583249,0.0083595532923936,normal
1.265,-0.0925675675675678,1.0,28.0,70.0,0.0086308000609278,0.0077777612023055,normal
2.308875,-0.1236486486486485,1.0,28.0,70.0,0.0076159904710948,0.0084976367652416,normal
1.1575,-0.1141891891891895,1.0,28.0,70.0,0.0087710982188582,0.0100703304633498,normal
2.161125,-0.1486486486486478,1.0,28.0,70.0,0.0100499298423528,0.0078012687154114,normal
1.867875,-0.0905405405405407,1.0,28.0,70.0,0.0080916285514831,0.0106700873002409,normal
1.621625,-0.1249999999999991,1.0,29.0,70.0,0.0108012845739722,0.0078810853883624,normal
2.2925,-0.0722972972972968,1.0,29.0,70.0,0.0079219061881303,0.0110572455450892,normal
1.08625,-0.1033783783783775,1.0,29.0,70.0,0.010925549082458,0.0086735459044575,normal
2.267375,-0.0878378378378371,1.0,29.0,70.0,0.0088578825816512,0.01073526032269,normal
1.22875,-0.1202702702702708,1.0,29.0,70.0,0.0105257406830787,0.0103777134791016,normal
1.500125,-0.1391891891891888,1.0,29.0,70.0,0.0101905670017004,0.0087018208578228,normal
2.09575,-0.1452702702702701,1.0,29.0,70.0,0.0088521186262369,0.0108702993020415,normal
